🔗 github pages mirror,,,,
,,,,
,"tracking sheet 2024
i put everything in here that seems major to me",,,
,,,,
,,,,
,,,,
,,,,
,,,,
,title,finish date,extra,type
,My Hero Academia - Season 3,2-Jan-2024,,Anime
,My Hero Academia - Two Heroes (Movie),2-Jan-2024,,Anime (Film)
,My Hero Academia - Season 4,7-Jan-2024,,Anime
,Touhou 6 (note 20/03/2026: this wasn't a 1cc iirc),16-Jan-2024,,Game
,Neon Genesis Evangelion,25-Jan-2024,,Anime
,The End Of Evangelion,5-Feb-2024,,Anime (Film)
,Like A Dragon: Infinite Wealth (Main Story),18-Feb-2024,playtime: 106.3h,Game
,My Hero Academia - Season 5,28-Feb-2024,,Anime
,"Like A Dragon: Infinite Wealth (All Drink Links, Life Links, Personality Stats, Bingo Boards, Dondoko Island Storyline, Dungeons)",3-Mar-2024,playtime: ~43h (total: 159.8h),Game
,se7en,3-Mar-2024,,Film
,My Hero Academia the Movie 2: Heroes Rising,9-Mar-2024,,Anime (Film)
,My Hero Academia the Movie 3: World Heroes' Mission,10-Mar-2024,,Anime (Film)
,"Like A Dragon: Infinite Wealth (NG+ Legend Yong Yea Run, ALL ACHIEVEMENTS)",11-Mar-2024,playtime: ~49h (total: 208.4h),Game
,My Hero Academia - Season 6,18-Mar-2024,,Anime
,Touhou Hero of Ice Fairy (Early Access Main Story),22-Mar-2024,playtime: 8-9h,Game
,Hades (Cleared first escape attempt),30-Mar-2024,playtime: 27.6h,Game
,Sousou no Frieren,3-Apr-2024,,Anime
minor,Forsen I Wanna Be The Boshy Playthrough (2018),4-Apr-2024,"watched this on a whim while eating over a few days, idk it's pretty long so i thought i'd add it",Other
,Invincible - Season 2,5-Apr-2024,,TV Show
,Smiling Friends - Season 1,5-Apr-2024,,Other
,Yakuza: Dead Souls,8-Apr-2024,playtime: ~16h,Game
,Touhou Hero of Ice Fairy (Full Release Finale),9-Apr-2024,playtime: 13h,Game
,Metal Gear Solid,19-Apr-2024,playtime: ~15h,Game
,The Lord of the Rings - The Fellowship of the Ring (Extended Edition),23-Apr-2024,,Film
,Hotline Miami (Main Story & Epilogue),23-Apr-2024,playtime: 6.5h,Game
,Fallout (tv show),27-Apr-2024,,TV Show
,The Lord of the Rings - The Two Towers (Extended Edition),29-Apr-2024,,Film
,The Lord of the Rings - The Return of the King (Extended Edition),1-May-2024,,Film
,Another Crab's Treasure (Story + All Achievements),1-May-2024,playtime: 22h,Game
,Elden Ring,19-May-2024,playtime: ~90h,Game
,Bocchi the Rock!,20-May-2024,,Anime
,Malenia (Elden Ring),21-May-2024,playtime: ~20h for the fight,Game
,Elden Ring NG+1,27-May-2024,playtime: ~11h after Malenia,Game
,Steel Ball Run,6-Jun-2024,NINE MONTHS,Manga
,Code Geass - Season 1,9-Jun-2024,,Anime
,Code Geass - Season 2,15-Jun-2024,,Anime
,Persona 3 Reload,17-Jun-2024,playtime: ~82h,Game
,Code Geass: Lelouch of the Re;surrection,18-Jun-2024,,Anime (Film)
,Smiling Friends - Season 2,25-Jun-2024,,Other
,JoJolion,26-Jun-2024,,Manga
,Spy x Family - Season 1 (Part 1),28-Jun-2024,,Anime
,Milk inside a bag of milk inside a bag of milk,29-Jun-2024,playtime: 0.5h,Visual Novel
,Spy x Family - Season 1 (Part 2),29-Jun-2024,,Anime
,Puella Magi Madoka Magica,1-Jul-2024,,Anime
,Spy x Family - Season 2,4-Jul-2024,,Anime
,Elden Ring: Shadow of the Erdtree (All Bosses),4-Jul-2024,playtime: ~46h,Game
,Higurashi When They Cry - Onikakushi,5-Jul-2024,playtime: 16.5h,Visual Novel
,Higurashi When They Cry - Watanagashi,7-Jul-2024,playtime: 21.3h,Visual Novel
,Higurashi When They Cry - Tatarigoroshi,17-Jul-2024,playtime: ~21h,Visual Novel
,The Boys - Season 4,18-Jul-2024,,TV Show
,Chainsaw Man (Manga) - Public Safety Arc,21-Jul-2024,,Manga
,Madoka Magica Movie 3,21-Jul-2024,,Anime (Film)
,Higurashi When They Cry - Himatsubushi,26-Jul-2024,playtime: ~10h,Visual Novel
,Kaguya-sama: Love is War,28-Jul-2024,,Anime
,Kaguya-sama: Love is War OVA,28-Jul-2024,,Anime
,Azumanga Daioh: The Animation,5-Aug-2024,,Anime
,Caught up with Chainsaw Man (up until latest chapter 173),6-Aug-2024,,Manga
,Deadpool & Wolverine,10-Aug-2024,,Film
,Mob Psycho 100,15-Aug-2024,,Anime
,Higurashi When They Cry - Meakashi,17-Aug-2024,playtime: 18.9h,Visual Novel
,Mob Psycho 100 II,19-Aug-2024,,Anime
,"Jujutsu Kaisen (Manga) - up until Shibuya Incident Ending 
(Anime Season 2 Ending)",25-Aug-2024,(30/08/2026: don't really get why i wrote it down like that),Manga
,Mob Psycho 100 III,26-Aug-2024,,Anime
,Kaguya-sama: Love is War?,31-Aug-2024,,Anime
,Kaguya-sama: Love is War -Ultra Romantic-,9-Sep-2024,,Anime
,Kaguya-sama: Love is War -The First Kiss That Never Ends-,17-Sep-2024,,Anime
,Shikanoko Nokonoko Koshitantan,18-Sep-2024,,Anime
,Jujutsu Kaisen (Manga),27-Sep-2024,,Manga
,Joker: Folie à Deux,5-Oct-2024,,Film
,"Yakuza 5 Replay (Legend Difficulty, All Substories + Amon)",31-Oct-2024,playtime: ~80h,Game
,Fullmetal Alchemist: Brotherhood,6-Nov-2024,,Anime
,My Hero Academia - Season 7,8-Nov-2024,,Anime
,Look Back,13-Nov-2024,,Anime (Film)
,JoJo's Bizarre Adventure Part 1: Phantom Blood (Manga),14-Nov-2024,,Manga
,One Piece - Jaya & Skypiea Arc,16-Nov-2024,,Anime
,DARK SOULS III - All Bosses + Ashes of Ariandel & The Ringed City,16-Nov-2024,playtime: 58.1h,Game
,"One Piece - G-8 Filler Arc, Long Ring Long Land Arc, Ocean's Dream Filler Arc, Foxy's Return Filler Arc",20-Nov-2024,,Anime
,"One Piece - Water 7 Arc, Enies Lobby Arc, Post-Enies Lobby Arc",1-Dec-2024,,Anime
,South Park: The End of Obesity,9-Dec-2024,,Game
,"One Piece - Ice Hunter Filler Arc, Thriller Bark Arc, Spa Island Filler Arc",9-Dec-2024,,Anime
,Higurashi When They Cry - Tsumihoroboshi,12-Dec-2024,playtime: 24.2h,Visual Novel
