🔗 github pages mirror,,,,,,,,
,,,,,,,,
,,"tracking sheet 2025
i put everything in here that seems major to me",,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,didn't track the start dates for each one piece arc,,,,,
,,,"""→"" = same date",,,,,
,,title,start date,finish date,playtime (h),,type,days spent
,,A Silent Voice,→,1-Jan-2025,,,Anime (Film),same day
,,Squid Game - Season 2,2-Jan-2025,4-Jan-2025,,,TV Show,3 days
,,"One Piece - Marine Ford Arc, Post-War Arc",didn't track,8-Jan-2025,,,Anime,N/A
,,Inglourious Basterds,→,8-Jan-2025,,,Film,same day
,,"One Piece - Return to Sabaody Arc, Fish-Man Island Arc",didn't track,13-Jan-2025,,,Anime,N/A
,,One Piece - Z's Ambition Arc & One Piece Film: Z,→,14-Jan-2025,,,Anime,same day
,,Touhou 7: Perfect Cherry Blossom (1cc),idk,16-Jan-2025,,,Game,N/A
,,Godzilla Minus One,16-Jan-2025,17-Jan-2025,,,Film,2 days
,,"One Piece - Punk Hazard Arc, Caesar Retrieval Filler Arc",didn't track,20-Jan-2025,,,Anime,N/A
,,Transformers One,→,21-Jan-2025,,,Film,same day
,,Violet Evergarden,20-Jan-2025,22-Jan-2025,,,Anime,3 days
,,Sonic the Hedgehog 3,→,22-Jan-2025,,,Film,same day
,,"Violet Evergarden: The Day You Understand ""I Love You"" Will Surely Come",→,22-Jan-2025,,,Anime,same day
,,Violet Evergarden: Eternity and the Auto Memory Doll,→,23-Jan-2025,,,Anime,same day
,,Violet Evergarden: The Movie,23-Jan-2025,24-Jan-2025,,,Anime,2 days
,,Bakemonogatari,25-Jan-2025,27-Jan-2025,,,Anime,3 days
,,Kizumonogatari Trilogy,→,28-Jan-2025,,,Anime (Film),same day
,,Touhou Bougetsushou ~ Silent Sinner in Blue.,28-Jan-2025,29-Jan-2025,,,Manga,2 days
,,Nisemonogatari,30-Jan-2025,3-Feb-2025,,,Anime,5 days
,,Nekomonogatari Black,→,5-Feb-2025,,,Anime,same day
,,One Piece - Dressrosa Arc (& Silver Mine Filler Arc),didn't track,7-Feb-2025,,,Anime,N/A
,,One Piece: Heart of Gold,→,8-Feb-2025,,,Anime,same day
,,One Piece Film: Gold,→,8-Feb-2025,,,Anime (Film),same day
,,"One Piece - Zou Arc, Marine Rookie Filler Arc",didn't track,12-Feb-2025,,,Anime,N/A
,,One Piece - Whole Cake Island Arc,didn't track,24-Feb-2025,,,Anime,N/A
,,One Piece - Reverie Arc,didn't track,26-Feb-2025,,,Anime,N/A
,,Hanamonogatari,→,28-Feb-2025,,,Anime,same day
,,One Piece - Cidre Guild Filler Arc & One Piece: Stampede,→,3-Mar-2025,,,Anime,same day
,,Monogatari Series: Second Season,8-Feb-2025,9-Mar-2025,,,Anime,30 days
,,Tsukimonogatari,→,11-Mar-2025,,,Anime,same day
,,Koyomimonogatari,12-Mar-2025,19-Mar-2025,,,Anime,8 days
,,One Piece - Uta's Past Filler Arc & One Piece Film: Red,20-Mar-2025,21-Mar-2025,,,Anime (Film),2 days
,,One Piece - Wano Country Arc,didn't track,25-Mar-2025,,,Anime,N/A
major,,CAUGHT UP WITH ONE PIECE (ANIME),Sept. 2023,28-Mar-2025,,,Anime,N/A
,,One Piece Fan Letter,→,28-Mar-2025,,,Anime,same day
,,Caught up with Yotsuba&! (Chapter 114),14-Mar-2025,28-Mar-2025,,,Manga,15 days
,,Invincible - Season 3,28-Mar-2025,29-Mar-2025,,,TV Show,2 days
,,Higurashi When They Cry - Minagoroshi,22-Dec-2024,31-Mar-2025,28.1h,,Visual Novel,100 days
